community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Rennaz,925,219,422,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/CHE_Rennaz_COA.svg/35px-CHE_Rennaz_COA.svg.png,0.0,0.0,100.0,40.0
Duillier,1113,411,271,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Duillier-coat_of_arms.svg/35px-Duillier-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Yvorne,1086,1220,89,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/CHE_Yvorne_COA.svg/35px-CHE_Yvorne_COA.svg.png,0.0,0.0,100.0,40.0
Coppet,3206,187,1714,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/CHE_Coppet_COA.svg/35px-CHE_Coppet_COA.svg.png,0.0,0.0,100.0,40.0
Cheseaux-sur-Lausanne,4517,458,986,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Cheseaux-sur-Lausanne-coat_of_arms.svg/35px-Cheseaux-sur-Lausanne-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Corbeyrier,440,2200,20,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Corbeyrier_COA.svg/35px-CHE_Corbeyrier_COA.svg.png,0.0,0.0,100.0,40.0
Crassier,1236,203,609,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crassier-coat_of_arms.svg/35px-Crassier-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Commugny,2976,653,456,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Commugny-coat_of_arms.svg/35px-Commugny-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Crans (VD),2363,431,548,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Crans-pres-Celigny-coat_of_arms.svg/35px-Crans-pres-Celigny-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Gollion,1030,545,189,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Gollion-coat_of_arms.svg/35px-Gollion-coat_of_arms.svg.png,0.0,100.0,0.0,20.0
