"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"37";"Ossingen";"Steuerbares Einkommen, in Mio. Franken";59;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"37";"Ossingen";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";74358;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"38";"Rheinau";"Steuerbares Einkommen, in Mio. Franken";43;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"38";"Rheinau";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";72849;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"39";"Thalheim an der Thur";"Steuerbares Einkommen, in Mio. Franken";34;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"39";"Thalheim an der Thur";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";76950;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"40";"Trüllikon";"Steuerbares Einkommen, in Mio. Franken";36;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"40";"Trüllikon";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";73013;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"41";"Truttikon";"Steuerbares Einkommen, in Mio. Franken";15;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"41";"Truttikon";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";78397;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"43";"Volken";"Steuerbares Einkommen, in Mio. Franken";14;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"43";"Volken";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";87196;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"51";"Bachenbülach";"Steuerbares Einkommen, in Mio. Franken";152;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"51";"Bachenbülach";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";82825;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"52";"Bassersdorf";"Steuerbares Einkommen, in Mio. Franken";433;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"52";"Bassersdorf";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";79668;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"53";"Bülach";"Steuerbares Einkommen, in Mio. Franken";766;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"53";"Bülach";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";77640;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"54";"Dietlikon";"Steuerbares Einkommen, in Mio. Franken";298;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"54";"Dietlikon";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";81608;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
